48 "('Evangelion: 3.0+1.0 Thrice Upon a Time', 'https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time')"
49 "('Great Teacher Onizuka', 'https://myanimelist.net/anime/245/Great_Teacher_Onizuka')"
50 "('Mononoke Hime', 'https://myanimelist.net/anime/164/Mononoke_Hime')"
51 "('Shigatsu wa Kimi no Uso', 'https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso')"
52 "('Mushishi', 'https://myanimelist.net/anime/457/Mushishi')"
53 "('Haikyuu!! Second Season', 'https://myanimelist.net/anime/28891/Haikyuu_Second_Season')"
54 "('Hajime no Ippo: New Challenger', 'https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger')"
55 "('Howl no Ugoku Shiro', 'https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro')"
56 "('Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen')"
57 "('Natsume Yuujinchou Shi', 'https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi')"
58 "('Violet Evergarden', 'https://myanimelist.net/anime/33352/Violet_Evergarden')"
59 "('Natsume Yuujinchou Roku', 'https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku')"
60 "('Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai')"
61 "('Tengen Toppa Gurren Lagann', 'https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann')"
62 "('86 Part 2', 'https://myanimelist.net/anime/48569/86_Part_2')"
63 "('Death Note', 'https://myanimelist.net/anime/1535/Death_Note')"
64 "('Mushoku Tensei: Isekai Ittara Honki Dasu Part 2', 'https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2')"
65 "('Suzumiya Haruhi no Shoushitsu', 'https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu')"
66 "('Ping Pong the Animation', 'https://myanimelist.net/anime/22135/Ping_Pong_the_Animation')"
67 "('Shingeki no Kyojin Season 3', 'https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3')"
68 "('Mushishi Zoku Shou: Suzu no Shizuku', 'https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku')"
69 "('Ookami Kodomo no Ame to Yuki', 'https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki')"
70 "('One Piece', 'https://myanimelist.net/anime/21/One_Piece')"
71 "('Kizumonogatari II: Nekketsu-hen', 'https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen')"
72 "('JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze')"
73 "('Shouwa Genroku Rakugo Shinjuu', 'https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu')"
74 "('Yojouhan Shinwa Taikei', 'https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei')"
75 "('Natsume Yuujinchou Go', 'https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go')"
76 "('Natsume Yuujinchou San', 'https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San')"
77 "('Yakusoku no Neverland', 'https://myanimelist.net/anime/37779/Yakusoku_no_Neverland')"
78 "('Fate/Zero 2nd Season', 'https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season')"
79 "('Fruits Basket 2nd Season', 'https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season')"
80 "('Hajime no Ippo: Rising', 'https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising')"
81 "('Kimi no Suizou wo Tabetai', 'https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai')"
82 "('Kimetsu no Yaiba', 'https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba')"
83 "('Tengen Toppa Gurren Lagann Movie 2: Lagann-hen', 'https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen')"
84 "('Mushishi: Hihamukage', 'https://myanimelist.net/anime/21329/Mushishi__Hihamukage')"
85 "('Zoku Natsume Yuujinchou', 'https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou')"
